modularity_class,target,party,count
2,Friends of Pat Snyder,Rep,2
2,Friends of Paul Tittl,Rep,16
2,Friends of Rob Summerfield,Rep,2
2,Friends of Sam's Kerkman Klub,Rep,15
2,Friends of Sheila Harsdorf,Rep,8
2,Friends Of Steve Doyle,Dem,3
2,Friends of Swearingen,Rep,1
2,Friends of Terry Katsma,Rep,54
2,Hintz for Assembly,Dem,3
2,Jagler For Assembly,Rep,2
2,Joel Kitchens for Assembly,Rep,2
2,Kapanke for Senate,Dem,26
2,Knodl Assembly 24,Rep,1
2,Kremer for Wisconsin,Rep,35
2,Krug for Assembly,Rep,45
2,Kulp For Assembly,Rep,1
2,Mandy Wright for Assembly,Dem,1
2,Mark Elliott for Senate,Rep,13
2,Michael Schraa for Assembly,Rep,1
2,Murphy for Assembly Committee,Rep,23
2,Nancy 4 Wisconsin,Rep,57
2,Novak For Assembly,Dem,6
2,Olsen for Senate,Rep,14
2,Petersen- Republican for 40th Assembly,Rep,1
2,Quinn for Assembly,Rep,1
2,Ripp for Assembly,Rep,2
2,Rohrkaste for Assembly,Rep,75
2,Sanfelippo for Assembly,Rep,4
2,Scott Fitzgerald for Senate,Rep,27
2,Shilling for Senate,Dem,10
2,Steffen for Wisconsin,Rep,8
2,Steineke for Assembly,Rep,4
2,T E Pronschinske for Assembly,Rep,1
2,Tauchen for Assembly,Rep,1
2,Taxpayers for Kapenga,Rep,6
2,Taxpayers for Lasee,Rep,8
2,Taxpayers for Marklein,Rep,1
2,Taxpayers for Nygren,Rep,15
2,Taxpayers for Scott Owens,Rep,2
2,Taxpayers for Stafsholt,Rep,3
2,Testin for Senate,Rep,94
2,Vorpagel for Assembly,Rep,28
2,Wachs for Assembly,Dem,1
2,Warren Petryk For Assembly,Rep,1
2,Westlake for Wisconsin,Rep,6
2,Zimmerman for Wisconsin,Rep,1
2,NA,NA,20
3,Amanda For Assembly,Dem,47
3,Bob Baker for Wisconsin,Dem,29
3,Bowen 4 Action,Dem,4
3,Brian Smith for Senate,Dem,78
3,Citizens for George Ferriter,Dem,104
3,Citizens for Janis Ringhand,Dem,1
3,Citizens for Peter Barca,Dem,1
3,Citizens for Tiffany,Rep,3
3,Citizens for Zepnick,Dem,2
3,Comm to Elect Lena C. Taylor,Dem,1
3,Committee for the election of William J. Switalla,Dem,3
3,Committee to Elect Michalak,Dem,10
3,Cowles for Senate,Rep,1
3,Dmitri 2016,Dem,76
3,Feyen for Senate,Rep,2
3,Forward with JoCasta,Dem,3
3,Friends for Van Stippen,Dem,129
3,Friends of Alberta Darling,Rep,2
3,Friends of Chris Rockwood,Dem,1
3,Friends of Chris Taylor,Dem,1
3,Friends of Dave Hansen,Dem,231
3,Friends of DC Crowley,Dem,3
3,Friends of Eric Genrich,Dem,33
3,Friends of Fred Risser,Dem,1
3,Friends of Heidi Fencl,Dem,16
3,Friends of Jonathan Brostoff,Dem,1
3,Friends of Julie Lassa,Dem,26
3,Friends of Katrina Shankland,Dem,1
3,Friends of La Tonya Johnson,Dem,1
3,Friends of Lisa Subeck,Dem,1
3,Friends of Mandela Barnes,Dem,1
3,Friends of Mariana Stout,Dem,25
3,Friends of Melissa Sargent,Dem,3
3,Friends of Paul Czisny,Dem,12
3,Friends of Rebecca Clarke,Dem,20
3,Friends of Robb Kahl,Dem,1
3,Friends of Sam Kelly,Dem,11
3,Friends of Sheila Harsdorf,Rep,7
3,Friends Of Steve Doyle,Dem,2
3,Friends of Tony Lee,Dem,11
3,Goyke For Assembly,Dem,1
3,Harris for Wisconsin,Dem,350
3,Hintz for Assembly,Dem,133
3,Howard White for Assembly,Dem,1
3,Huftel for the 75th,Dem,1
3,Jeff Wright for Assembly,Dem,2
3,Julia for Assembly,Dem,1
3,Kapanke for Senate,Dem,1
3,Kossik For Assembly,Dem,15
3,Lynn Utesch for Assembly,Dem,86
3,Mandy Wright for Assembly,Dem,15
3,Michalsen for 34th District State Assembly,Dem,17
3,Nancy 4 Wisconsin,Rep,1
3,Nanette for Assembly,Dem,16
3,Odeen for Wisconsin,Dem,1
3,Pelikan for Assembly,Ind,2
3,Penny Bernard Schaber Campaign,Dem,1
3,Redmond for Assembly,Dem,1
3,Reif for Assembly,Dem,5
3,Renea For Assembly,Dem,1
3,Riemer for Assembly,Dem,4
3,Scott Fitzgerald for Senate,Rep,1
3,Sharon's Neighbors,Dem,1
3,Shilling for Senate,Dem,29
