modularity_class,target,party,count
11,Friends of Lisa Subeck,Dem,1
11,Friends of Mandela Barnes,Dem,104
11,Friends of Marisabel Cabrera,Dem,27
11,Friends of Mary,Rep,2
11,Friends of Mason,Dem,3
11,Friends of Melissa Sargent,Dem,7
11,Friends of Robb Kahl,Dem,6
11,Friends Of Steve Doyle,Dem,11
11,Friends of Terry Katsma,Rep,2
11,Friends of Tod Ohnstad,Dem,1
11,Goyke For Assembly,Dem,32
11,Harris for Wisconsin,Dem,32
11,Hintz for Assembly,Dem,6
11,Howard White for Assembly,Dem,1
11,Jagler For Assembly,Rep,1
11,Jeff Wright for Assembly,Dem,2
11,Joel Kitchens for Assembly,Rep,3
11,Mandy Wright for Assembly,Dem,252
11,Nancy 4 Wisconsin,Rep,2
11,Novak For Assembly,Dem,2
11,Odeen for Wisconsin,Dem,7
11,Olsen for Senate,Rep,1
11,Petersen- Republican for 40th Assembly,Rep,1
11,Redmond for Assembly,Dem,16
11,Riemer for Assembly,Dem,34
11,Ripp for Assembly,Rep,1
11,Scott Fitzgerald for Senate,Rep,3
11,Shilling for Senate,Dem,24
11,Steffen for Wisconsin,Rep,2
11,Steineke for Assembly,Rep,1
11,Stencil for Assembly,Dem,39
11,Taxpayers for Kapenga,Rep,2
11,Taxpayers for Nygren,Rep,3
11,Testin for Senate,Rep,4
11,Wachs for Assembly,Dem,1
11,NA,NA,25
12,Adam Dahl Wisconsin State Assembly,Ind,1
12,Alicia for Assembly,Dem,67
12,Amanda For Assembly,Dem,4
12,Bennett For Assembly,Dem,35
12,Billings for Assembly,Dem,22
12,Bowen 4 Action,Dem,47
12,Brian Smith for Senate,Dem,1
12,Brooks for Assembly,Rep,1
12,Citizens for George Ferriter,Dem,2
12,Citizens for Janis Ringhand,Dem,1
12,Comm to Elect Lena C. Taylor,Dem,1
12,Dennis Hunt For Wisconsin,Dem,1
12,Dmitri 2016,Dem,4
12,Elect Don Prestia,Dem,4
12,Forward with JoCasta,Dem,2
12,Friends for Van Stippen,Dem,4
12,Friends of Alberta Darling,Rep,1
12,Friends of Chris Taylor,Dem,2
12,Friends of Dave Hansen,Dem,3
12,Friends of DC Crowley,Dem,1
12,Friends of Eric Genrich,Dem,1
12,Friends of Jonathan Brostoff,Dem,7
12,Friends of Julie Lassa,Dem,8
12,Friends of Katrina Shankland,Dem,1
12,Friends of La Tonya Johnson,Dem,1
12,Friends of Lee Nerison,Rep,1
12,Friends of Lisa Subeck,Dem,1
12,Friends of Mandela Barnes,Dem,5
12,Friends of Mason,Dem,1
12,Friends of Melissa Sargent,Dem,1
12,Friends of Sheila Harsdorf,Rep,1
12,Friends Of Steve Doyle,Dem,196
12,Goyke For Assembly,Dem,1
12,Harris for Wisconsin,Dem,7
12,Hintz for Assembly,Dem,7
12,Jeff Wright for Assembly,Dem,1
12,Kapanke for Senate,Dem,1
12,Mandy Wright for Assembly,Dem,4
12,Olsen for Senate,Rep,2
12,Sharon's Neighbors,Dem,12
12,Shilling for Senate,Dem,238
12,Vote Jeff Peterson,Dem,2
12,NA,NA,10
13,Friends of Judy Robson,Dem,1
13,NA,NA,1
14,Friends of Fitz,Rep,1
14,NA,NA,1
15,Elect Jordan Hansen,Ind,3
15,NA,NA,1
16,McNulty for Assembly,Rep,1
16,NA,NA,1
17,NA,NA,2
18,John Small 2016,Dem,1
18,NA,NA,1
19,Walters 4 Wisconsin,Dem,1
19,NA,NA,1
